objectid,sector,time,location,source,cars,trucks,motorcycle,bicycle,publictransport,pedestrian,other,placename,photo,video,photo_link,video_link,day_night,raion,comuna,localitate,year,month,hour,weekday,day_part,location_trasee,street,tipul,cauza,decedati,traumati
1,Botanica,2/24/2018 1:18,str. Melestiu 20/2, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Bulevardul Dacia,Ciocnire fata in spate,Nerespectarea distantei dintre vehicule,0,1
2,Botanica,1/30/2018 17:00,Bulevardul Decebal - Strada Trandafirilor,publika.md,1,0,0,0,0,1,0,Chişinău,https://media.publika.md/md/image/201608/w720/accident_59_56841800.jpg,Lipseşte,https://www.publika.md/accident-la-botanica-o-femeie-a-fost-lovita-pe-o-trecere-de-pietoni-_2994057.html,,1,Chişinău,Chişinău,Chişinău,2018,1,17,1,amurg,,Strada Trandafirilor,,,0,0
3,U.T.A. Gagauzia,9/20/2019 6:37,Congaz,gagauzinfo.md,2,0,0,0,0,0,0,Congaz, , ,,,0,,,,0,,0,0,,,,3.6,Conducere imprudentă,0,0
4,Botanica,2/14/2018 10:45,Strada Trandafirilor - Bulevardul Decebal,Royal Map,2,0,0,0,0,0,0,Chişinău,https://i.imgur.com/tcz3Qxr.jpg?1,Lipseşte,https://i.imgur.com/tcz3Qxr.jpg?1,,0,Chişinău,Chişinău,Chişinău,2018,2,10,2,ziua,,Strada Trandafirilor,,,0,0
5,"Strășeni, Romănești",4/2/2019 5:30,Romănești,Publika.md,0,0,0,0,1,0,0,Romănești,https://media.publika.md/md/image/201902/w720/accident_94453600.jpg, ,https://media.publika.md/md/image/201902/w720/accident_94453600.jpg,,0,,,,0,,0,0,,,,2.3,,0,4
6,"Taraclia, Albota",2/18/2019 14:35,Albota,Publika.md,2,0,0,0,0,0,0,Albota,https://media.publika.md/md/image/201902/w720/2c21c013eb758f9e5967843c3c09f36dd26ca732_36746400.jpg, ,https://media.publika.md/md/image/201902/w720/2c21c013eb758f9e5967843c3c09f36dd26ca732_36746400.jpg,,0,,,,0,,0,0,,,,3.4,"Viteză neadecvată vizibilităţii, condiţiilor, situaţiei rutiere",0,3
7,Botanica,5/2/2018 14:30,Strada Trandafirilor - Bulevardul Decebal,waze.com,2,0,0,0,0,0,0,Chişinău,https://scontent-otp1-1.xx.fbcdn.net/v/t1.0-9/31793511_620073234995784_5801386655134777344_n.jpg?_nc_cat=0&oh=a27a3396bf706ecb2c09359004142ae9&oe=5B9ACF5B,Lipseşte,https://www.facebook.com/groups/voditelipomogaiutpesehodam/permalink/1624629414257673/,,1,Chişinău,Chişinău,Chişinău,2018,5,14,2,ziua,,Strada Trandafirilor,,,0,0
8,Orhei,2/5/2019 14:05,Traseul R-20,Publika.md,1,0,0,0,0,0,0,Orhei,https://media.publika.md/md/image/201902/w720/51429086_648554888934620_3010909367420583936_n_08031000.jpg, ,https://media.publika.md/md/image/201902/w720/51429086_648554888934620_3010909367420583936_n_08031000.jpg,,0,,,,0,,0,0,,,,2.3,Drum alunecos (rugozitate scăzută),0,0
9,Vama Leușeni,2/5/2019 10:42,Vama Leușeni,Publika.md,0,1,0,0,0,1,0,Leușeni, ,https://www.publika.md/accident-fatal-la-vama-leuseni-o-femeie-a-murit-dupa-ce-a-fost-lovita-de-un-camion_3033120.html,,https://www.publika.md/accident-fatal-la-vama-leuseni-o-femeie-a-murit-dupa-ce-a-fost-lovita-de-un-camion_3033120.html,0,,,,0,,0,0,,,,1.3,"Neasigurarea la schimbarea benzii sau direcţiei de mers, viraj incorect",1,0
10,Botanica,5/15/2018 5:00,Strada Trandafirilor -Bulevardul Decebal,Royal Map,2,0,0,0,0,0,0,Chişinău,https://i.imgur.com/TjzDy6r.jpg,Lipseşte,https://i.imgur.com/TjzDy6r.jpg,,0,Chişinău,Chişinău,Chişinău,2018,5,5,1,noapte,,Strada Trandafirilor,,,0,0
11,Botanica,2/21/2018 19:40,Instersectia str. Trandafirilor - Decebal, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Trandafirilor,Tamponarea pietonilor angajati in traversare neregulamentara,Traversarea neregulamentara a ,,
12,Alte,9/5/2017 20:30,Traseul spre localitatea Cheltuitori,politiacapitalei.md,1,0,0,0,0,0,0,Cheltuitori,http://politiacapitalei.md/wp-content/uploads/2017/09/%D0%A0%D0%B8%D1%81%D1%83%D0%BD%D0%BE%D0%BA1-6.jpg,https://youtu.be/vhboCRhoy-E,http://politiacapitalei.md/accident-rutier-soldat-cu-decesul-unui-tanar-de-31-ani/,https://www.youtube.com/watch?v=vhboCRhoy-E,1,Chişinău,Tohatin,,2017,9,20,1,noapte,L455 - Cheltuitori - Tohatin,,,,0,0
13,Alte,9/11/2017 11:00,Corjeuti,tv8.md,1,0,1,0,0,0,0,Corjeuţi,http://tv8.md/wp-content/uploads/2017/09/21557544_1080392118763273_7048138389200485348_n.jpg,Lipseşte,http://tv8.md/2017/09/11/foto-accident-grav-la-corjeuti-un-motociclist-de-15-ani-a-ajuns-in-stare-grava-la-spital/,,0,Briceni,Corjeuţi,Corjeuţi,2017,9,11,0,ziua,M5 - Lipcani - Balasinești - Corjeuți - Tîrnova - M5,,,,0,0
14,Botanica,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,8,0,0,,,,,,0,0
15,Soroca,2/7/2019 6:12,Soroca,Publika.md,1,1,0,0,0,0,0,Soroca,https://media.publika.md/md/image/201902/w720/ac2_37555000.jpg, ,https://media.publika.md/md/image/201902/w720/ac2_37555000.jpg,,0,,,,0,,0,0,,,,,,0,1
16,Botanica,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,8,0,0,,,,,,0,0
17,Botanica,1/23/2018 8:45,Strada Grădina Botanica - Strada Calea Basaraiei,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2018,1,8,1,dimineata,,Strada Grădina Botanică,,,0,0
18,Botanica,5/14/2018 7:00,Strada Grădina Botanica - Strada Calea Basaraiei,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2018,5,7,0,zori,,Strada Grădina Botanică,,,0,0
19,Botanica,11/24/2017 6:30,Şoseaua Muceşti în apropiere de Strada Minsk,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,11,6,4,dimineata,Chişinău - Bender - Tiraspol - M5,Șoseaua Muncești,,,0,0
20,Botanica,5/8/2018 14:00,Bulevardul Cuza-Voda 1/4,INP InfoTrafic,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,1,Chişinău,Chişinău,Chişinău,2018,5,14,1,ziua,,Bulevardul Cuza-Vodă,,,0,0
21,Botanica,12/20/2017 8:00,Bulevardul Decebal - Strada Constantin Brâncuşi,point.md,1,0,0,0,0,1,0,Chişinău,https://i.simpalsmedia.com/point.md/news/370x220/a5e7ee654aea4581060cfcd18344d0df.jpg,https://i.simpalsmedia.com/video/720p/8fdf33ea-9af4-479e-bb7a-3189f8779b1d.mp4,https://point.md/ru/novosti/proisshestviya/na-botanike-mashina-sbila-peshekhoda-kotoryi-vyskochil-iz-za-trolleibusa,https://point.md/ru/novosti/proisshestviya/na-botanike-mashina-sbila-peshekhoda-kotoryi-vyskochil-iz-za-trolleibusa,0,Chişinău,Chişinău,Chişinău,2017,12,8,2,ziua,,Strada Constantin Brîncuși,,,0,0
22,Orhei,12/25/2018 12:00,Strada Chișinăului - Strada Vasile Lupu,Publika.md,1,0,0,0,0,0,0,Orhei,https://media.publika.md/md/image/201902/w720/51398427_402472760508127_3233296881312333824_n_95474600.jpg,https://www.publika.md/un-tanar-mort-de-beat-si-fara-permis-de-conducere-trantit-la-pamant-de-politie-a-fugit-si-a-intrat-cu-masina-intr-un-stalp-video_3033104.html,https://media.publika.md/md/image/201902/w720/51398427_402472760508127_3233296881312333824_n_95474600.jpg,https://www.publika.md/un-tanar-mort-de-beat-si-fara-permis-de-conducere-trantit-la-pamant-de-politie-a-fugit-si-a-intrat-cu-masina-intr-un-stalp-video_3033104.html,0,,,,0,,0,0,,,,2.3,"Stare de ebrietate alcoolică, adormire la volan",0,0
23,Botanica,1/30/2018 14:45,Strada Decebal,fb: GBM,2,0,0,0,0,0,0,Chişinău,https://scontent-otp1-1.xx.fbcdn.net/v/t31.0-8/27503719_522535221450667_1497716392488821384_o.jpg?oh=ce29b99f55c3b1af12625a54e527c4aa&oe=5B1D3958,Lipseşte,https://www.facebook.com/photo.php?fbid=522535221450667&set=g.672464446140846&type=1&theater&ifg=1,,0,Chişinău,Chişinău,Chişinău,2018,1,14,1,ziua,,Bulevardul Decebal,,,0,0
24,Botanica,2/8/2018 18:56,Intersectia Decebal - Brincusi, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Constantin Brîncuși,Tamponarea pietonilor aflati pe spatiile destinate acestora,Neacordarea prioritatii pietonilor,0,1
25,Botanica,3/24/2018 10:40,Intersectia bd. Decebal - Brincusi, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Constantin Brîncuși,Tamponarea pietonilor angajati in traversare neregulamentara,Neacordarea prioritatii pietonilor,0,1
26,Alte,9/24/2017 0:00,Traseul Budesti - Buneti,point.md,2,0,0,0,0,0,0,Budeşti,Lipseşte,https://i.simpalsmedia.com/video/720p/ac2a3f38-04c0-4ca8-b417-55281f653878.mp4,,https://point.md/ro/noutati/auto/grav-accident-la-budesti-doua-persoane-au-murit-alte-patru--la-spital,1,Chişinău,Tohatin,Tohatin,2017,9,0,6,noapte,Frontiera cu Ucraina - Criva - Bălți - Chișinău - Tiraspol - frontiera cu Ucraina,,,,0,0
27,Alte,9/26/2017 16:00,Localitatea Racovăț - Redi-Cereșnovăț cu drumul M2,publika.md,1,0,0,0,0,0,0,Racovăţ,https://media.publika.md/md/video/201709/accident-fatal-soroca_92891100.mp4,Lipseşte,https://www.publika.md/un-mort-si-doua-persoane-in-stare-grava-la-spital-in-urma-unui-accident-cumplit-produs-la-soroca_2981605.html,,0,Soroca,Racovăţ,,2017,9,16,1,amurg,R6 - Codrul Nou - Soroca - Unguri - frontiera cu Ucraina,,,,0,0
28, ,1/18/2018 12:00,Tr. Anenii-Noi-Cauşeni-ştefan Voda-frontiera ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29, ,1/21/2018 14:57,"Tr. M14 Berlin ti - Cotiujeni, km 48 (Briceni)", ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,1,0,0,,,,Tamponare cu obstacol din afara carosabilului,"Viteză neadecvată vizibilităţii, condiţiilor, situaţiei rutiere",0,1
30, ,1/9/2018 9:15,Drumul National M 5 km 13+800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Botanica,8/5/2019 11:35,bulevardul Dacia,"facebook, GBM",3,0,0,0,0,0,0,Chisinau, ,https://www.facebook.com/100007924127255/videos/2441406199466827/,,,0,,,,0,,0,0,,,,3.7,,0,0
32,Botanica,1/18/2018 11:00,"Tr. Chisinau-Tiraspol, km 41 (Anenii Noi)", ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,1,0,0,,,,Alte accidente cu participarea unui vehicul,"Viteză neadecvată vizibilităţii, condiţiilor, situaţiei rutiere",0,0
33,Botanica,10/20/2017 12:30,Şoseaua Munceşti - Strada Pădurii,fb: GBM,1,1,0,0,0,0,0,Chişinău,https://scontent-otp1-1.xx.fbcdn.net/v/t1.0-9/22519167_1986329308316613_297359269422699739_n.jpg?oh=b94d4cdca348f19642f442bd8a26f825&oe=5AA4B6C6,Lipseşte,https://www.facebook.com/groups/voditelipomogaiutpesehodam/permalink/1435519419835341/,,0,Chişinău,Chişinău,Chişinău,2017,10,12,4,ziua,Chişinău - Bender - Tiraspol - M5,Șoseaua Muncești,,,0,0
34,Botanica,12/5/2017 21:00,Şoseaua Munceşti. TrosonulStrada Ştefan Holban - Strada Iurie Babei,publika.md,1,0,0,0,0,0,0,Chişinău,Lipseşte,https://media.publika.md/md/video/201712/viteza-l-a-dus-intr-un-gard_71160800.mp4,,https://www.publika.md/accident-in-capitala-patru-tineri-au-scapat-cu-viata-dupa-ce-s-au-lovit-cu-masina-in-trei-stalpi-si-intr-un-gard_2988918.html,1,Chişinău,Chişinău,Chişinău,2017,12,21,1,noapte,Chişinău - Bender - Tiraspol - M5,Șoseaua Muncești,,,0,0
35,Botanica,7/4/2018 7:30,"str. Sos. Muncesti, 195", ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,7,0,0,,,,Ciocnire laterala,"Neasigurarea la schimbarea benzii sau directiei de mers, viraj incorect",0,1
36,mun.Chișinău,2/6/2019 9:50,Traseul M-3,Știri.md,1,0,0,0,0,0,0,Băcioi,https://i.simpalsmedia.com/point.md/news/thumbnails/large/b26eb9fa144b8013f0e740306ca008fe.jpg, ,https://i.simpalsmedia.com/point.md/news/thumbnails/large/b26eb9fa144b8013f0e740306ca008fe.jpg,,0,,,,0,,0,0,,,,2.1,,0,0
37,Rascani,6/12/2018 2:50,Traseul M 2 km 12,tv8.md,1,1,0,0,0,0,0,Chişinău,http://tv8.md/wp-content/uploads/2017/09/21557660_1716622818362177_707263395442683349_n.jpg,https://youtu.be/_RGOvUHUta0,http://tv8.md/2017/09/18/foto-video-accident-in-apropiere-de-stauceni-un-automobil-s-a-ciocnit-cu-un-camion-si-s-a-rasturnat-pe-carosabil/,http://tv8.md/2017/09/18/foto-video-accident-in-apropiere-de-stauceni-un-automobil-s-a-ciocnit-cu-un-camion-si-s-a-rasturnat-pe-carosabil/,0,Chişinău,Stăuceni,,2017,9,13,0,ziua,Chișinău - Orhei - Bălți,,Ciocnire laterala,"Neasigurarea la schimbarea benzii sau directiei de mers, viraj incorect",0,4
38,Botanica,1/19/2018 16:00,Strada Grădina Botanica în apropiere de Strada Salcâmilor,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,1,Chişinău,Chişinău,Chişinău,2018,1,16,4,amurg,,Strada Grădina Botanică,,,0,0
39,Botanica,12/26/2017 14:00,Strada Grădina Botanică în apropiere de  Strada Sarmizegetusa,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,12,14,1,ziua,,Strada Grădina Botanică,,,0,0
40,Alte,9/4/2017 15:00,"Strada Tretiakov, mun. Comrat",publika.md,1,0,0,0,0,1,0,Comrat,Lipseşte,https://media.publika.md/md/video/201709/copil-accidentat-la-comrat_94823300.mp4,,https://www.publika.md/ex-presedintele-adunarii-populare-din-gagauzia-retinut-dupa-ce-a-lovit-cu-masina-un-minor_2979623.html,0,UTA Găgăuzia,Comrat,Comrat,2017,9,15,0,ziua,R35 - drumul de acces spre mun. Comrat,Strada Tretiakov,,,0,0
41,Taraclia,2/5/2019 20:59,Taraclia,Știri.md,2,0,0,0,0,0,0,Taraclia,https://i.simpalsmedia.com/point.md/news/thumbnails/large/439c24911d07a9f5692023a48e671c8f.jpg, ,https://i.simpalsmedia.com/point.md/news/thumbnails/large/439c24911d07a9f5692023a48e671c8f.jpg,,0,,,,0,,0,0,,,,,,1,0
42, ,1/10/2018 17:00,Tr. M 5 km 20+25 metrilinga s. Hlina r.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43, ,1/30/2018 9:39,"s. Corjeuti, r. Briceni", ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,1,0,0,,,,Tamponare cu obstacol din afara carosabilului,"Viteză neadecvată vizibilităţii, condiţiilor, situaţiei rutiere",0,0
44, ,1/26/2018 2:10,"Tr. M14 - Berlin ti - Cotiujeni, km 0+100m (Briceni)", ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,1,0,0,,,,Ciocnire cu vehicul staţionat,Depăşirea vitezei stabilite,0,0
45, ,1/18/2018 14:30,"str. A. Mateevici, or. Cahul", ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,1,0,0,,,,Ciocnire cu vehicul staţionat,Conducere imprudentă,0,0
46,Botanica,12/21/2017 3:30,Bulevardul Decebal - Strada Nicolae Titulescu,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,1,Chişinău,Chişinău,Chişinău,2017,12,3,3,noapte,,Bulevardul Decebal,,,0,0
47,Botanica,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,9,0,0,,,,,,0,0
48,Hâncești,3/4/2019 13:30,"Fundul Galbenei, Hâncești",gbmnews.md,0,1,0,0,0,0,0,Fundul Galbenei,https://gbmnews.md/wp-content/uploads/2019/03/7b11ccc979cade29c416302ba18fced1.jpg, ,https://gbmnews.md/wp-content/uploads/2019/03/7b11ccc979cade29c416302ba18fced1.jpg,,0,,,,0,,0,0,,,,2.1,Conducere imprudentă,0,0
49,Râșcani,3/11/2019 15:30,În apropiere de satul Recea,gbmnews.md,1,0,0,0,1,0,0,Recea,https://gbmnews.md/wp-content/uploads/2019/03/14-19-34-t3_88886800-384x288.jpg, ,https://gbmnews.md/wp-content/uploads/2019/03/14-19-34-t3_88886800-384x288.jpg,,0,,,,0,,0,0,,,,,,0,2
50,Botanica,2/27/2018 10:30,Strada Grădina Botanica - Strada Pădurii,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2018,2,10,1,ziua,,Strada Pădurii,,,0,0
51,Botanica,2/16/2018 12:00,Strada Grădina Botanică - Strada Sarmizegetusa,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2018,2,12,4,ziua,,Strada Grădina Botanică,,,0,0
52,Botanica,4/12/2018 8:30,Strada Grădina Botanica - Strada Salcâmilor,fb: GBM,2,0,0,0,0,0,0,Chişinău,https://scontent-otp1-1.xx.fbcdn.net/v/t1.0-9/30595177_2034154906910764_7801825656368111110_n.jpg?_nc_cat=0&_nc_eui2=v1%3AAeHytleXWg7N4bg2if1bAro6UfKt0wc9PEyIkberDkx_QGOivGJiM4xw7RNRWzXY6WdgOexzletWXxKGsI2VIbyL8bYE6ydwr6Ya_kNkop3XUQ&oh=4564261aaf0c121a215b1a5cab393299&oe=5B66F990,Lipseşte,https://www.facebook.com/groups/voditelipomogaiutpesehodam/permalink/1605710102816271/,,0,Chişinău,Chişinău,Chişinău,2018,4,8,3,ziua,,Strada Salcîmilor,,,0,0
53,Călărași,2/23/2019 12:48,Călărași,Publika.md,2,0,0,0,0,0,0,Călărași,https://www.publika.md/accident-grav-la-calarasi-doua-masini-s-au-ciocnit-frontal-si-au-fost-facute-zob-sunt-victime-fotovideo_3035026_foto_5119236.html#gallery,https://www.publika.md/accident-grav-la-calarasi-doua-masini-s-au-ciocnit-frontal-si-au-fost-facute-zob-sunt-victime-fotovideo_3035026.html,,,0,,,,0,,0,0,,,,3.4,,0,0
54,Botanica,2/8/2018 18:52,Intersectia Gradina ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Telecentru,2/18/2019 9:05,Șoseaua Hâncești,sputnik.md,2,0,0,0,0,0,0,mun.Chișinău,https://cdn2.img.sputnik.md/images/06/77/067781.jpg,https://ro.sputnik.md/moldova/20190218/24777307/accident-chisinau-video.html,,,0,,,,0,,0,0,,,,3.1,Depăşirea vitezei stabilite,0,2
56,Botanica,1/16/2018 13:10,"Tr. Chisinau-Tiraspol, km 42+100m (Anenii Noi)", ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,1,0,0,,,,"Ciocnire „faţă în spate”, inclusiv cu automobile oprite în virtutea situaţiei rutiere","Viteză neadecvată vizibilităţii, condiţiilor, situaţiei rutiere",0,0
57,Botanica,1/11/2018 15:45,"Bulevardul Dacia, vizavi de Grădina Botanica",waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,1,Chişinău,Chişinău,Chişinău,2018,1,15,3,ziua,,Bulevardul Dacia,,,0,0
58,Botanica,10/20/2017 5:30,Şoseaua Munceşti,jurnal.md,1,1,0,0,0,1,0,Chişinău,http://jurnal.md/img/pages/2017/10/20/un-barbat-de-29-de-ani-lovit-pe-o-trecere-de-pietoni-in-capitala/big-un-barbat-de-29-de-ani-lovit-pe-o-trecere-de-pietoni-in-capitala.png,https://youtu.be/BfEPIVdXh5Y?t=1,http://jurnal.md/ro/social/2017/10/20/un-barbat-de-29-de-ani-lovit-pe-o-trecere-de-pietoni-in-capitala/,http://jurnal.md/ro/social/2017/10/20/un-barbat-de-29-de-ani-lovit-pe-o-trecere-de-pietoni-in-capitala/,1,Chişinău,Chişinău,Chişinău,2017,10,5,4,dimineata,Chişinău - Bender - Tiraspol - M5,Șoseaua Muncești,,,0,0
59, ,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Băcioi,Băcioi,2018,12,0,5,noapte,,Strada 31 August 1989,,,0,0
60, ,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Băcioi,Băcioi,2018,12,0,5,noapte,,,,,0,0
61,Botanica,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Trandafirilor,,,0,0
62,Botanica,11/11/2017 11:15,Strada Trandafirilor - Bulevardul Decebal,fb: GBM,3,0,0,0,0,0,0,Chişinău,https://scontent-otp1-1.xx.fbcdn.net/v/t31.0-8/23509283_1570824179645890_5158173568904022911_o.jpg?oh=0dda70d2c9a8cb39a40e387f426448ab&oe=5AAAD3C5,Lipseşte,https://www.facebook.com/groups/voditelipomogaiutpesehodam/permalink/1455286491191967/,,0,Chişinău,Chişinău,Chişinău,2017,11,11,5,ziua,,Strada Trandafirilor,,,0,0
63,Botanica,11/19/2017 19:00,Şoseaua Munceşti,point.md,0,0,0,0,1,1,0,Chişinău,https://i.simpalsmedia.com/point.md/news/370x220/d74f9593a3cc028cd02c86ff57beb16b.jpg,https://i.simpalsmedia.com/video/480p/80e7cb4a-2594-400a-86b3-c2147e83bb70.mp4,https://point.md/ro/noutati/incidente/pieton-spulberat-de-un-taxi-in-capitala-soferul-era-drogat,https://point.md/ro/noutati/incidente/pieton-spulberat-de-un-taxi-in-capitala-soferul-era-drogat,1,Chişinău,Chişinău,Chişinău,2017,11,19,6,amurg,Chişinău - Bender - Tiraspol - M5,Șoseaua Muncești,,,0,0
64,Botanica,2/11/2018 9:30,Şoseaua Munceşti,fb: GBM,2,0,0,0,0,0,0,Chişinău,https://scontent-otp1-1.xx.fbcdn.net/v/t1.0-9/27858278_1620012318034234_6939716299419507867_n.jpg?oh=997181e26ea5ada71903d8d8ceeb6132&oe=5B10440E,Lipseşte,https://www.facebook.com/groups/voditelipomogaiutpesehodam/permalink/1544167032303912/,,0,Chişinău,Chişinău,Chişinău,2018,2,9,6,ziua,Chişinău - Bender - Tiraspol - M5,Șoseaua Muncești,,,0,0
65,Botanica,4/8/2018 18:00,Strada Muncesti,publika.md,1,0,0,0,0,2,0,Chişinău,Lipseşte,https://media.publika.md/md/video/201804/mama-si-fiu-morti_72706100.mp4,,https://www.publika.md/tragedie-fara-margini-mama-si-fiu-morti-intr-un-accident-rutier-soferul-sustine-ca-nu-a-observat-victimele_3001899.html,1,Chişinău,Chişinău,Chişinău,2018,4,18,6,ziua,Chişinău - Bender - Tiraspol - M5,Șoseaua Muncești,,,0,0
66,Botanica,11/23/2017 15:30,Strada Independenţei - Strada Hristo Botev,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,11,15,3,ziua,,Strada dr. Tudor Strișcă,,,0,0
67,Botanica,12/11/2017 15:45,Strada Independenţei - Strada Hristo Botev,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,12,15,0,ziua,,Strada dr. Tudor Strișcă,,,0,0
68,Botanica,12/28/2017 16:45,Strada Independenţei - Strada Hristo Botev,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,1,Chişinău,Chişinău,Chişinău,2017,12,16,3,ziua,,Strada dr. Tudor Strișcă,,,0,0
69, ,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Durleşti,Durleşti,2018,12,0,5,noapte,,Strada Dimo,,,0,0
70,Botanica,12/25/2017 12:30,Strada Doctot Tudor Strişcă - Strada Petre Ungureanu,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,12,12,0,ziua,,Strada dr. Tudor Strișcă,,,0,0
71,Botanica,11/9/2017 9:00,Şoseaua Munceşti - Strada Căuşeni,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,11,9,3,ziua,Chişinău - Bender - Tiraspol - M5,Șoseaua Muncești,,,0,0
72,Botanica,6/26/2018 22:20,str. Sarmizegetusa 1, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Sarmizegetusa,Ciocnire fata in spate,Nerespectarea distantei dintre vehicule,0,1
73,Botanica,3/10/2018 13:30,str. Cetatea Alba 78, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Cetatea Albă,Tamponarea pietonilor angajati in traversare neregulamentara,Traversare neregulamentara a drumului de catre pietoni,0,1
74,Strășeni,2/25/2019 0:55,"Strășeni, în apropiere de Cojușn",Publika.md,2,0,0,0,0,0,0,Cojușna,https://media.publika.md/md/image/201902/w720/m2_93556000.jpg, ,,,0,,,,0,,0,0,,,,3.4,Conducere imprudentă,0,0
75,Botanica,1/3/2018 15:45,"Bulevardul Dacia, pe viaduct",waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2018,1,15,2,ziua,,Bulevardul Dacia,,,0,0
76,Botanica,5/2/2018 15:00,Strada Hristo Botev - Bulevardul Dacia,unimedia.info.md,2,0,0,0,0,0,0,Chişinău,http://st.unimedia.info/content/news/big/foto-trafic-dat-peste-cap-pe-strada-decebal-din-capitala-circa-30-de-troleibuze-si-au-oprit-activitatea-1525276315.jpg,Lipseşte,http://unimedia.info/stiri/update-foto-un-accident-cu-implicarea-a-doua-automobile--perturba-traficul-rutier-pe-o-strada-din-capitala-circa-30-de-troleibuze-si-au-oprit-activitatea-153013.html,,1,Chişinău,Chişinău,Chişinău,2018,5,15,2,ziua,,Bulevardul Dacia,,,0,0
77,Botanica,7/2/2018 6:00,Intersectia bd. Dacia – ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Botanica,10/17/2019 17:30,Sarmizegetusa,abra.md,2,0,0,0,0,0,0,Chisinau, , ,,,0,,,,0,,0,0,,,,3.5,Depăşirea vitezei stabilite,0,1
79,Botanica,12/8/2017 3:15,Bulevardul Decebal în apropiere de Podul Jumbo,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,1,Chişinău,Chişinău,Chişinău,2017,12,3,4,noapte,,Bulevardul Decebal,,,0,0
80,Botanica,3/2/2018 15:00,Bulevardul Decebal - Strada Liuba Dumitru,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,1,Chişinău,Chişinău,Chişinău,2018,3,15,4,ziua,,Bulevardul Decebal,,,0,0
