objectid,sector,time,location,source,cars,trucks,motorcycle,bicycle,publictransport,pedestrian,other,placename,photo,video,photo_link,video_link,day_night,raion,comuna,localitate,year,month,hour,weekday,day_part,location_trasee,street,tipul,cauza,decedati,traumati
1423,Rîşcani,12/22/2017 8:45,"Strada Calea Moşilor, vizavi de Gara de Nord",waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,12,8,4,ziua,,Strada Calea Moșilor,,,0,0
1424,Rîşcani,6/3/2018 14:44,str. Calea Mosilor 2, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,,Tamponarea pietonilor aflati pe spatiile destinate circulatiei acestora,Neacordarea prioritatii pietonilor,0,1
1425,Rîşcani,6/19/2018 12:42,str. Calea Mosilor 2, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Calea Moșilor,Tamponarea pietonilor angajati in traversarea neregulamentara a drumului,"Viteza neadecvata vizibilitatii, conditiilor, situatiei rutiere",0,1
1426,Rîşcani,6/26/2018 9:55,"str. Calea Mosilor, 2", ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Calea Moșilor,Ciocnire fata in spate,Nerespectarea distantei dintre vehicule,0,1
1427,Buiucani,9/15/2017 8:15,Şoseaua Balcani,fb: GBM,2,0,0,0,0,0,0,Chişinău,https://scontent-otp1-1.xx.fbcdn.net/v/t1.0-9/21728079_718824894976488_7519295018880330206_n.jpg?oh=acb74a7be73b32ce1318b26c76c2e808&oe=5A7922A4,Lipseşte,https://www.facebook.com/groups/voditelipomogaiutpesehodam/permalink/1405883682798915/,,0,Chişinău,Chişinău,Chişinău,2017,9,8,4,dimineata,Frontiera cu România - Leuşeni - Chişinău - Dubăsari - frontiera cu Ucraina,Șoseaua Balcani,,,0,0
1428,Rîşcani,6/27/2018 3:20,"str. Calea Mosilor, 2", ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Calea Moșilor,Tamponarea pietonilor aflati pe spatiile destinate circulatiei acestora,Neacordarea prioritatii pietonilor,0,1
1429,Rîşcani,9/4/2017 5:30,"Strada Mihai Viteazul, Staţia Peco Lukoil",fb: GBM,0,0,0,0,0,0,0,Chişinău,https://scontent-otp1-1.xx.fbcdn.net/v/t1.0-9/21371062_10213802337034978_5916603636211801900_n.jpg?oh=649f738db7117953326907254eccb2fc&oe=5A787CE1,Lipseşte,https://www.facebook.com/photo.php?fbid=1852065435110804&set=g.672464446140846&type=1&theater&ifg=1,,1,Chişinău,Chişinău,Chişinău,2017,9,5,0,noapte,,Strada Mihai Viteazul,,,0,0
1430,Rîşcani,11/13/2017 9:00,Strda Doina în apropiere cu intersecţia Stradela Vladimir Komarov vizavi de parc,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,11,9,0,ziua,,Strada Doina,,,0,0
1431,Rîşcani,11/13/2017 5:45,Strada Doina - Strada Andrei Lupan,fb: GBM,2,0,0,0,0,0,0,Chişinău,https://scontent-otp1-1.xx.fbcdn.net/v/t1.0-9/23561649_340792783061019_2926272597514063901_n.jpg?oh=2d68bed63c387414b4f44e082e909166&oe=5A6553FB,Lipseşte,https://www.facebook.com/groups/voditelipomogaiutpesehodam/permalink/1456984667688816/,,1,Chişinău,Chişinău,Chişinău,2017,11,5,0,dimineata,,,,,0,0
1432,Rîşcani,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Doina,,,0,0
